stem	back	front	log_odds_back	stem_freq	stem_varies	sd_back	language
balek	5215	225	3.1431939652304526	5440	TRUE	14.686522182720095	yi
barchesz	8	37	-1.5314763709643884	45	TRUE	2.5647178748895127	yi
docens	6	29878	-8.513118233374207	29884	TRUE	2.449243830652437	la
fater	5385	190	3.344348517430003	5575	TRUE	13.54712750649119	yi
fráter	34	997	-3.378390245345677	1031	TRUE	5.73400021685611	la
gólem	1	1736	-7.459338895220296	1737	TRUE	0.999712105939046	yi
haver	71848	634	4.7302591009135595	72482	TRUE	25.06899284918201	yi
kampec	41	30	0.31237468504215243	71	TRUE	4.162204183118823	yi
karcer	36	93	-0.949080554697146	129	TRUE	5.094456631682423	la
kráter	87	9093	-4.649352047071329	9180	TRUE	9.283075470773596	la
kódex	19	48210	-7.838882768233227	48229	TRUE	4.358040256461757	la
latex	125	2639	-3.049841599201023	2764	TRUE	10.924603467686776	la
luesz	1	22	-3.0910424533583156	23	TRUE	0.9780192938436516	la
lumen	2	1760	-6.779921907472252	1762	TRUE	1.4134107161191358	la
macesz	117	88	0.28483712031954966	205	TRUE	7.086916836248499	yi
macher	14	40	-1.0498221244986778	54	TRUE	3.220305943597653	yi
maszek	2084	80	3.260017768199376	2164	TRUE	8.777386505288252	yi
mater	193	2954	-2.7282252741864395	3147	TRUE	13.459704599977396	la
muter	745	102	1.9884114050952884	847	TRUE	9.471887192601812	yi
pajesz	271	14	2.963061491264442	285	TRUE	3.648599827571448	yi
pollen	7	10478	-7.311122950912852	10485	TRUE	2.6448679848206482	la
pátens	2	616	-5.730099782973574	618	TRUE	1.4119233364778043	la
páter	32	923	-3.3618933317031257	955	TRUE	5.561272218755298	la
samesz	484	188	0.9456429438866824	672	TRUE	11.636355181273984	yi
sábesz	10	102	-2.3223877202902252	112	TRUE	3.017804310611087	yi
sólet	86	1280	-2.700268060660155	1366	TRUE	8.97695112704393	yi
vamzer	9	107	-2.4756042571256867	116	TRUE	2.8812712711459563	yi
vátesz	1	737	-6.602587892189336	738	TRUE	0.9993222635615924	la
zacsek	59	12	1.5926307941177191	71	TRUE	3.157820606987593	yi
ágens	7	7110	-6.923347373741973	7117	TRUE	2.644449862745976	la
ájer	15	67	-1.496642418288756	82	TRUE	3.5008709717691127	yi
ómen	2	996	-6.210600077024653	998	TRUE	1.4127958040594315	la
