stem	back	front	log_odds_back	stem_freq	language	log_odds_adj	transcription	trial_type	target	prompt	stimulus	choices
kolesz	2920	320	2.211017899468555	3240	hu	2.208240179257725	koles	dat	kolesznak	<p>Ez egy kolesz. Elneveztem a kutyámat kolesznak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kolesznak</p>	
krapek	436	39	2.414080597219388	475	de	2.391053740981654	krapek	pl	krapekok	<p>Ez egy krapek. Azok ott krapekok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">krapekok</p>	
krapek	436	39	2.414080597219388	475	de	2.391053740981654	krapek	dat	krapeknak	<p>Ez egy krapek. Elneveztem a kutyámat krapeknak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">krapeknak</p>	
pajesz	271	14	2.963061491264442	285	yi	2.8977518651937872	pajes	pl	pajeszok	<p>Ez egy pajesz. Azok ott pajeszok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pajeszok</p>	
pajesz	271	14	2.963061491264442	285	yi	2.8977518651937872	pajes	dat	pajesznak	<p>Ez egy pajesz. Elneveztem a kutyámat pajesznak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pajesznak</p>	
balek	5215	225	3.1431939652304526	5440	yi	3.138951104334203	balek	pl	balekok	<p>Ez egy balek. Azok ott balekok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">balekok</p>	
balek	5215	225	3.1431939652304526	5440	yi	3.138951104334203	balek	dat	baleknak	<p>Ez egy balek. Elneveztem a kutyámat baleknak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">baleknak</p>	
maszek	2084	80	3.260017768199376	2164	yi	3.248074979560463	masek	pl	maszekok	<p>Ez egy maszek. Azok ott maszekok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">maszekok</p>	
maszek	2084	80	3.260017768199376	2164	yi	3.248074979560463	masek	dat	maszeknak	<p>Ez egy maszek. Elneveztem a kutyámat maszeknak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">maszeknak</p>	
fater	5385	190	3.344348517430003	5575	yi	3.339284845324914	fater	pl	faterok	<p>Ez egy fater. Azok ott faterok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">faterok</p>	
fater	5385	190	3.344348517430003	5575	yi	3.339284845324914	fater	dat	faternak	<p>Ez egy fater. Elneveztem a kutyámat faternak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">faternak</p>	
matek	18299	276	4.194200826810537	18575	en	4.190638832642174	matek	pl	matekok	<p>Ez egy matek. Azok ott matekok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">matekok</p>	
matek	18299	276	4.194200826810537	18575	en	4.190638832642174	matek	dat	mateknak	<p>Ez egy matek. Elneveztem a kutyámat mateknak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">mateknak</p>	
haver	71848	634	4.7302591009135595	72482	yi	4.728696974633143	haver	pl	haverok	<p>Ez egy haver. Azok ott haverok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">haverok</p>	
haver	71848	634	4.7302591009135595	72482	yi	4.728696974633143	haver	dat	havernak	<p>Ez egy haver. Elneveztem a kutyámat havernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">havernak</p>	
