stem	back	front	log_odds_back	stem_freq	language	log_odds_adj	transcription	trial_type	target	prompt	stimulus	choices
mágnes	10	15983	-7.376695843374607	15993	en	-7.281448228089964	mágneš	dat	mágnesnak	<p>Ez egy mágnes. Elneveztem a kutyámat mágnesnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">mágnesnak</p>	
partner	471	655199	-7.237836191251888	655670	en	-7.235716825935441	partner	pl	partnerok	<p>Ez egy partner. Azok ott partnerok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">partnerok</p>	
partner	471	655199	-7.237836191251888	655670	en	-7.235716825935441	partner	dat	partnernak	<p>Ez egy partner. Elneveztem a kutyámat partnernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">partnernak</p>	
pollen	7	10478	-7.311122950912852	10485	la	-7.177686991795106	pollen	pl	pollenok	<p>Ez egy pollen. Azok ott pollenok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pollenok</p>	
pollen	7	10478	-7.311122950912852	10485	la	-7.177686991795106	pollen	dat	pollennak	<p>Ez egy pollen. Elneveztem a kutyámat pollennak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pollennak</p>	
szlogen	25	31893	-7.151266004088514	31918	en	-7.112076645286435	slogen	pl	szlogenok	<p>Ez egy szlogen. Azok ott szlogenok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szlogenok</p>	
szlogen	25	31893	-7.151266004088514	31918	en	-7.112076645286435	slogen	dat	szlogennak	<p>Ez egy szlogen. Elneveztem a kutyámat szlogennak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szlogennak</p>	
bukfenc	3	3841	-7.154875739677795	3844	de	-6.867453982208612	bukfenc	pl	bukfencok	<p>Ez egy bukfenc. Azok ott bukfencok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bukfencok</p>	
bukfenc	3	3841	-7.154875739677795	3844	de	-6.867453982208612	bukfenc	dat	bukfencnak	<p>Ez egy bukfenc. Elneveztem a kutyámat bukfencnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bukfencnak</p>	
hosztesz	0	898	-Inf	898	NA	-6.80128303447162	hostes	pl	hoszteszok	<p>Ez egy hosztesz. Azok ott hoszteszok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">hoszteszok</p>	
hosztesz	0	898	-Inf	898	NA	-6.80128303447162	hostes	dat	hosztesznak	<p>Ez egy hosztesz. Elneveztem a kutyámat hosztesznak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">hosztesznak</p>	
ágens	7	7110	-6.923347373741973	7117	la	-6.789956618203682	ágenš	pl	ágensok	<p>Ez egy ágens. Azok ott ágensok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">ágensok</p>	
ágens	7	7110	-6.923347373741973	7117	la	-6.789956618203682	ágenš	dat	ágensnak	<p>Ez egy ágens. Elneveztem a kutyámat ágensnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">ágensnak</p>	
gólem	1	1736	-7.459338895220296	1737	yi	-6.766767585681159	gólem	pl	gólemok	<p>Ez egy gólem. Azok ott gólemok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">gólemok</p>	
gólem	1	1736	-7.459338895220296	1737	yi	-6.766767585681159	gólem	dat	gólemnak	<p>Ez egy gólem. Elneveztem a kutyámat gólemnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">gólemnak</p>	
totem	2	2021	-6.918200536843676	2023	en	-6.513230110912307	totem	pl	totemok	<p>Ez egy totem. Azok ott totemok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">totemok</p>	
totem	2	2021	-6.918200536843676	2023	en	-6.513230110912307	totem	dat	totemnak	<p>Ez egy totem. Elneveztem a kutyámat totemnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">totemnak</p>	
drukker	27	18506	-6.530013416804646	18533	de	-6.493699807702544	drukker	pl	drukkerok	<p>Ez egy drukker. Azok ott drukkerok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">drukkerok</p>	
drukker	27	18506	-6.530013416804646	18533	de	-6.493699807702544	drukker	dat	drukkernak	<p>Ez egy drukker. Elneveztem a kutyámat drukkernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">drukkernak</p>	
nonszensz	2	1980	-6.897704943128636	1982	en	-6.492744758030441	nonsens	pl	nonszenszok	<p>Ez egy nonszensz. Azok ott nonszenszok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">nonszenszok</p>	
nonszensz	2	1980	-6.897704943128636	1982	en	-6.492744758030441	nonsens	dat	nonszensznak	<p>Ez egy nonszensz. Elneveztem a kutyámat nonszensznak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">nonszensznak</p>	
lumen	2	1760	-6.779921907472252	1762	la	-6.375024819828097	lumen	pl	lumenok	<p>Ez egy lumen. Azok ott lumenok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">lumenok</p>	
lumen	2	1760	-6.779921907472252	1762	la	-6.375024819828097	lumen	dat	lumennak	<p>Ez egy lumen. Elneveztem a kutyámat lumennak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">lumennak</p>	
