base	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	carrier_sentence	target_sentence	string	nchar	mgl	knn	gcm	resid
licegy	lice©	hotelban/hotelben	nonce word response	licegyban	licegyben	2	24	-2.120263536200091	NA	NA	e	ban	Ez itt egy licegy.	Ott vagyunk a...	liceḏ	5	0.4821179614579669	0.6153846153846153	0.3214929649894548	-1.4083404114262716
klingesz	klingeß	hotelban/hotelben	nonce word response	klingeszban	klingeszben	3	26	-1.9095425048844383	NA	NA	e	ban	Ez itt egy klingesz.	Ott vagyunk a...	klinges	7	0.939413804708474	0.38461538461538464	0.3160733820810977	-1.0336048742152744
klítegy	klíte©	hotelban/hotelben	nonce word response	klítegynál	klítegynél	4	25	-1.6486586255873816	NA	NA	e	nál	Ez itt egy klítegy.	Nincs is jobb egy jó...	klíteḏ	6	0.4289503385371819	0.5384615384615384	0.24167906198125663	-0.45738519783932585
dábegy	dábe©	hotelban/hotelben	nonce word response	dábegyban	dábegyben	4	23	-1.5686159179138452	NA	NA	e	ban	Ez itt egy dábegy.	Ott vagyunk a...	dábeḏ	5	0.4821179614579669	0.4615384615384616	0.25969881705616504	-0.30121629077780315
prately	prate¬	hotelban/hotelben	nonce word response	pratelynak	pratelynek	6	23	-1.2321436812926323	NA	NA	e	nak	Ez itt egy prately.	Elneveztem a kutyámat...	pratej	6	0.5651422605722124	0.38461538461538464	0.2999712450884703	0.5026903529110803
vismer	vismer	hotelban/hotelben	nonce word response	vismernál	vismernél	0	27	-3.332204510175204	NA	NA	e	nál	Ez itt egy vismer.	Nincs is jobb egy jó...	višmer	6	0.3562187676078863	0.7692307692307692	0.3328309261289491	-3.191805972188241
trigenc	trigenc	hotelban/hotelben	nonce word response	trigencnak	trigencnek	1	28	-2.6741486494265287	NA	NA	e	nak	Ez itt egy trigenc.	Elneveztem a kutyámat...	trigenc	7	0.5651422605722124	0.4615384615384616	0.2522130879699566	-2.28872062376765
zsúdel	Ωúdel	hotelban/hotelben	nonce word response	zsúdelnak	zsúdelnek	6	21	-1.1451323043030026	NA	NA	e	nak	Ez itt egy zsúdel.	Elneveztem a kutyámat...	žúdel	5	0.06534584571823446	0.4615384615384616	0.2722040186120805	0.6975640105270468
ikszert	ikßert	hotelban/hotelben	nonce word response	ikszertban	ikszertben	0	29	-3.4011973816621555	NA	NA	e	ban	Ez itt egy ikszert.	Ott vagyunk a...	iksert	6	0.4821179614579669	0.38461538461538464	0.26037322805712226	-3.282539197038466
jóbec	jóbec	hotelban/hotelben	nonce word response	jóbecnak	jóbecnek	8	21	-0.8938178760220964	NA	NA	e	nak	Ez itt egy jóbec.	Elneveztem a kutyámat...	jóbec	5	0.5651422605722124	0.6923076923076923	0.3888295284549187	1.3616620849781127
murdes	murdes	hotelban/hotelben	nonce word response	murdesnál	murdesnél	9	17	-0.587786664902119	NA	NA	e	nál	Ez itt egy murdes.	Nincs is jobb egy jó...	murdeš	6	0.10262167757920668	0.6923076923076923	0.3867590629576045	2.109805805666204
spizec	spizec	hotelban/hotelben	nonce word response	spizecnak	spizecnek	3	26	-1.9095425048844383	NA	NA	e	nak	Ez itt egy spizec.	Elneveztem a kutyámat...	špizec	6	0.5651422605722124	0.4615384615384616	0.3665617561909746	-1.0560602272089648
