stem	transcription	yi_la	knn	x_phon	y_phon
azbeszt	azbest	0.3559402149323277	-1.7835961585888942	-1.7163648648168093	0.5020350944604252
bagett	bagett	0.37796912869953186	-1.0827748535694834	-2.1872143670490383	1.0763296217616172
bagger	bagger	0.49255156513758724	1.2840364318450848	1.2036365436462415	-0.5531472402474767
bakter	bakter	0.2767060328931943	0.14521087417732484	1.321649781153767	-0.5164154140665899
balek	balek	0.7255440579265314	0.4754510774968708	-0.4571760748696845	0.34899924466494975
balett	balett	0.6044899127299561	-0.670303765622633	-2.4348607487189486	0.10236987920932471
bankett	bankett	0.4672033848273015	-2.081097794411083	-2.2228078325165233	-0.8861621724933199
barchesz	barches	0.4115218389501845	-0.4025838548286372	0.5230485831627164	-1.3504424744131762
barrel	barrel	0.3917461862667524	-1.4572118673625103	0.6225787964117454	-1.5130495976319462
barter	barter	0.23966973975827086	-0.5893898431705991	1.1273347878787892	-1.1214376715427723
bojler	bojler	0.2955349755625528	-1.8072636557640205	0.5411597989880238	-1.2817004638094782
borcet	borcet	0.3187703285780829	NA	-0.6111273179292421	-0.9801306243861336
bovden	bovden	0.16640972398880885	1.0862839477427682	0.21895412350745133	-0.2685426627050836
brojler	brojler	0.19697992159045502	-1.9294741727640603	1.0756047191800182	-1.5181657981031855
bróker	bróker	0.13746840298304028	-1.88416316724618	1.4854984869211956	0.5164773692440168
brúder	brúder	0.12219691148265703	-1.9102286489192624	1.579852818099047	0.3790683377217299
bukfenc	bukfenc	0.1436041535501034	-1.6005483663863411	-1.8057029352329301	-0.2679929077022579
bunker	bunker	0.32266932704189427	-0.15415067982725836	0.9647068578430972	-0.5882694999768819
burleszk	burlesk	0.39689264457958673	-0.6483032098523018	-1.5251659462322618	-1.4617158296209511
bóher	bóher	0.4099445528219585	NA	1.0182013905609073	1.0756339920603504
charter	charter	0.18759588148145961	1.164709420198973	1.7162624787508418	-1.6073584083029557
codec	codec	0.3207159678247262	-2.146591640509103	-0.5380742835665479	1.2027718699456404
collen	collen	0.012237324931124411	NA	-0.25728283504127214	-1.2711927104363991
docens	docenš	0.05708787516504354	-1.999200574866404	-1.1459052958593623	1.3286820751609651
dodzsem	dodžem	0.29775873634584427	-2.146839037700818	0.08046051529851864	-0.18333275761825593
doglen	doglen	0.1308341625269658	NA	-0.25360303734158207	-0.36753734520801573
dojen	dojen	0.2217555061336188	-2.115573242254759	-0.20887941533083473	0.8376067863724741
dolmen	dolmen	0.08673414790950741	NA	-0.015552867682519721	-0.7261559841429598
doppler	doppler	0.32439614053058335	-2.602283495098005	0.9607467364512207	-1.3319393338224517
drukker	drukker	0.13179051144125958	-1.9040671118307355	1.7886100749963152	-0.5520378280616528
dublett	dublett	0.2773339309556749	NA	-2.8546978319698564	-0.4305541161054101
duett	duett	0.1029347312687665	-1.4292811933496878	-2.03392675078453	1.1583836140155306
duplex	dupleks	0.19459851657060445	NA	-1.701507278286593	-0.34339717010593496
dózer	dózer	0.351309220867739	2.850918751600451	1.0172501026206542	1.099922519241508
dzsungel	džungel	0.2787635895276969	-1.6027844116659773	1.6030301005736114	-0.7382609899560966
dzsóker	džóker	0.23666758813102426	NA	1.5056022393752762	0.579622509432532
facet	facet	0.5149848312375405	NA	-0.2833428035883395	1.0636332429254636
faglett	faglett	0.4858139598960815	NA	-2.5511028442584074	-0.7641838602405495
falzett	falzett	0.45353897177225355	-1.454264428419494	-2.3973178823583177	-1.3988738212714915
farmer	farmer	0.416422235505413	1.275419515476145	1.0502072286467332	-1.086841199725619
fater	fater	0.17382802292771135	0.5959073885971742	1.2193226369582644	0.7927735463996184
facser	fačer	0.5086863023090761	NA	1.1323199492567635	0.8450671664444549
flanel	flanel	0.1885291110773891	-1.126150837502716	1.314104383154887	0.37940431994818036
flaszter	flaster	0.11959304246766445	-0.5580617860686885	1.985966243397764	-0.9484030741307704
flóbert	flóbert	0.09984157340442827	-1.1175437416360985	-0.5143427446980934	0.5399099468714902
fotel	fotel	0.2775251197735479	-2.046678184861635	0.8851545828948595	0.8371024693283863
fráter	fráter	0.058043876550917264	-0.6503970490826193	1.7374076823183717	0.5300085629799774
fuser	fušer	0.3967246392951822	-0.4972156146300658	0.9183670049394026	0.8778541692026524
gatyesz	gaṯes	0.4044550173627734	0.24923282886148887	0.32663969021893896	1.058260369402662
groteszk	grotesk	0.1049429652411531	NA	-0.6120121413684727	0.8234043384475479
gukker	gukker	0.2782359102489099	-1.47622275867797	1.0873304023885326	-0.3767269549691772
gólem	gólem	0.36531390258016627	0.94653086497058	-0.1742766588783383	0.8821171186533252
halef	halef	0.8023031497588348	-0.7346656785642722	-0.05749277967874928	0.4221358372800811
hardver	hardver	0.45811985812840955	1.239050084192368	1.469255594696122	-1.5431031738900514
haver	haver	0.45209068188138196	0.5139821487226904	1.031327195063686	0.724458161726014
hosztesz	hostes	0.22851843519290033	NA	0.40872376255636245	-0.5072248605134343
hotel	hotel	0.276661204041466	-0.05529018994648462	0.9181081196867475	0.8657331044299661
jampec	jampec	1	-0.10466340862367056	-0.3629372192438418	-0.2889679738115108
junker	junker	0.2502200092972883	-1.4633269611669228	1.0656675211691953	-0.4643436194956864
kadet	kadet	0.4521131621662165	-1.5281484589718484	-0.5491381195927182	0.9307912298927392
kampec	kampec	0.3881965231323139	-0.1435570133437103	-0.539327134437233	-0.5717393539801099
karcer	karcer	0.4054303453083304	-1.054480619045516	0.9584746932236238	-1.2809089928600461
kartell	kartell	0.05695019501928116	-1.306842247058961	-0.07231969300413058	-1.6329887852131213
karter	karter	0.07157577838337048	-1.2176961802337165	0.9854433593740823	-1.2532586197543039
klapec	klapec	0.3247602826852737	-0.5638129140041203	-0.25595959537548785	0.5648735596342734
klaszter	klaster	0.04031116564592239	-1.862474994026453	1.7378243457588507	-1.1255113464174982
klozet	klozet	0.21056621384575025	0.17534019591457786	-0.49739227403242914	0.4128809389162855
koffer	koffer	0.2259482838782705	-1.8882684845929845	0.7926214045770821	-1.003423375250245
kolesz	koles	0.3823026854687912	-0.8309562914712821	-0.564643192276082	0.28509512069653276
komplex	kompleks	0.28322760152878457	NA	-2.0148639972210245	-1.305603282078585
komplett	komplett	0.5094039055136108	-1.0290013319893443	-3.309477902568433	-1.4872812146726648
