stem	transcription	language	log_odds_adj	neighbourhood_size	llfpm10	stem_length	stem_final	stem_phonology	stem_final_consonant_cluster	suffix	log_odds_back_suffix	date	yi_la	knn	x_phon	y_phon
gólem	gólem	yi	-6.766767585681159	1	0.9666714958476778	5	m	other	4	Dat	-4.1588830833596715	1900	0.3653139025801662	0.94653086497058	-0.1742766588783383	0.8821171186533252
totem	totem	en	-6.513230110912307	1	0.8624780099324221	5	m	other	4	Pl	-6.1675164908883415	1900	0.2426096332159762	-2.104043099284315	0.31384293382313666	1.1729592798384358
totem	totem	en	-6.513230110912307	1	0.8624780099324221	5	m	other	4	Dat	-4.07753744390572	1900	0.2426096332159762	-2.104043099284315	0.31384293382313666	1.1729592798384358
drukker	drukker	de	-6.493699807702544	1	1.599349006057054	7	r	coronal_sonorant	4	Pl	-7.273023197338889	1866	0.13179051144125958	-1.9040671118307355	1.7886100749963152	-0.5520378280616528
drukker	drukker	de	-6.493699807702544	1	1.599349006057054	7	r	coronal_sonorant	4	Dat	-4.3400879454535515	1866	0.13179051144125958	-1.9040671118307355	1.7886100749963152	-0.5520378280616528
nonszensz	nonsens	en	-6.492744758030441	0	1.2858393542194446	9	ns	sibilant	4	Dat	-6.436951329565632	1900	0.0504276639395561	-1.3830364803526063	-1.4450217886175878	-0.6322636532404518
nonszensz	nonsens	en	-6.492744758030441	0	1.2858393542194446	9	ns	sibilant	4	Pl	-6.2766434893416445	1900	0.0504276639395561	-1.3830364803526063	-1.4450217886175878	-0.6322636532404518
lumen	lumen	la	-6.375024819828097	1	1.3578062989248016	5	n	coronal_sonorant	4	Dat	-4.406719247264253	1900	0.19274482874818383	-1.197319898370384	0.12080731575078672	1.5901678132422898
lumen	lumen	la	-6.375024819828097	1	1.3578062989248016	5	n	coronal_sonorant	4	Pl	-4.382026634673881	1900	0.19274482874818383	-1.197319898370384	0.12080731575078672	1.5901678132422898
token	token	en	-6.33175601179619	0	1.245905770590949	5	n	coronal_sonorant	4	Pl	-7.755338812846501	1850	0.15177169037066407	-2.0046022735663693	0.02190332664072617	1.2296966742941675
token	token	en	-6.33175601179619	0	1.245905770590949	5	n	coronal_sonorant	4	Dat	-4.102643365036796	1850	0.15177169037066407	-2.0046022735663693	0.02190332664072617	1.2296966742941675
duett	duett	it	-6.317078728093343	0	1.4809516014593376	5	tt	other	4	Pl	-7.035268599281097	1799	0.1029347312687665	-1.4292811933496878	-2.03392675078453	1.1583836140155306
duett	duett	it	-6.317078728093343	0	1.4809516014593376	5	tt	other	4	Dat	-5.117993812416755	1799	0.1029347312687665	-1.4292811933496878	-2.03392675078453	1.1583836140155306
kortes	korteš	NA	-6.115892125483034	6	0.13557201061440527	6	š	sibilant	4	Pl	-5.402677381872279	1830	0.09828083128587428	NA	0.05704078008181597	-1.0211284617217509
kortes	korteš	NA	-6.115892125483034	6	0.13557201061440527	6	š	sibilant	4	Dat	-3.367295829986474	1830	0.09828083128587428	NA	0.05704078008181597	-1.0211284617217509
omlett	omlett	fr	-5.929855065476291	0	0.9301594617947097	6	tt	other	4	Dat	-6.47543271670409	1850	0.2732317348686268	-1.6798876961229046	-2.877873467339763	0.02925927547072895
omlett	omlett	fr	-5.929855065476291	0	0.9301594617947097	6	tt	other	4	Pl	-5.497168225293202	1850	0.2732317348686268	-1.6798876961229046	-2.877873467339763	0.02925927547072895
koffer	koffer	de	-1.1794595478476049	0	0.9596105383709403	6	r	coronal_sonorant	4	Pl	-2.5100508315890258	1843	0.2259482838782705	-1.8882684845929845	0.7926214045770821	-1.003423375250245
koffer	koffer	de	-1.1794595478476049	0	0.9596105383709403	6	r	coronal_sonorant	4	Dat	-1.2992829841302609	1843	0.2259482838782705	-1.8882684845929845	0.7926214045770821	-1.003423375250245
bojler	bojler	en	-1.0738131741339771	1	1.4702901013537286	6	r	coronal_sonorant	4	Dat	3.367295829986474	1900	0.2955349755625528	-1.8072636557640205	0.5411597989880238	-1.2817004638094782
bojler	bojler	en	-1.0738131741339771	1	1.4702901013537286	6	r	coronal_sonorant	4	Pl	3.1354942159291497	1900	0.2955349755625528	-1.8072636557640205	0.5411597989880238	-1.2817004638094782
farmer	farmer	en	-1.021925633594891	4	1.984242209298364	6	r	coronal_sonorant	4	Pl	-2.795799905332738	1977	0.416422235505413	1.275419515476145	1.0502072286467332	-1.086841199725619
farmer	farmer	en	-1.021925633594891	4	1.984242209298364	6	r	coronal_sonorant	4	Dat	-1.5244446996007077	1977	0.416422235505413	1.275419515476145	1.0502072286467332	-1.086841199725619
szkander	skander	ar	-0.9879467207805904	0	0.6195616634977026	8	r	coronal_sonorant	4	Dat	-1.0296194171811581	1600	0.23646192716359457	-1.6358631402436374	1.639457644990538	-1.2288527882268354
szkander	skander	ar	-0.9879467207805904	0	0.6195616634977026	8	r	coronal_sonorant	4	Pl	-0.6931471805599453	1600	0.23646192716359457	-1.6358631402436374	1.639457644990538	-1.2288527882268354
karcer	karcer	la	-0.9323768696257794	2	-0.6005464245423525	6	r	coronal_sonorant	4	Pl	-1.0986122886681098	1647	0.4054303453083304	-1.054480619045516	0.9584746932236238	-1.280908992860046
fotel	fotel	fr	-0.7751379278898186	2	1.918034842594317	5	l	coronal_sonorant	4	Pl	-1.945531647915291	1850	0.2775251197735479	-2.046678184861635	0.8851545828948595	0.8371024693283863
fotel	fotel	fr	-0.7751379278898186	2	1.918034842594317	5	l	coronal_sonorant	4	Dat	-1.5664205273504095	1850	0.2775251197735479	-2.046678184861635	0.8851545828948595	0.8371024693283863
flanel	flanel	fr	-0.7711087220296571	0	0.35638106706207384	6	l	coronal_sonorant	4	Pl	-0.15415067982725836	1872	0.1885291110773891	-1.126150837502716	1.314104383154887	0.3794043199481803
flanel	flanel	fr	-0.7711087220296571	0	0.35638106706207384	6	l	coronal_sonorant	4	Dat	-1.3862943611198906	1872	0.1885291110773891	-1.126150837502716	1.314104383154887	0.3794043199481803
karter	karter	en	-0.714840005171205	6	0.13926501315555695	6	r	coronal_sonorant	4	Dat	-2.3978952727983707	1850	0.07157577838337048	-1.2176961802337165	0.9854433593740825	-1.253258619754304
jampec	jampec	de	-0.4269713133291279	1	0.15123380228128092	6	c	other	4	Pl	-0.36870421213309457	1960	1	-0.10466340862367056	-0.3629372192438418	-0.2889679738115108
jampec	jampec	de	-0.4269713133291279	1	0.15123380228128092	6	c	other	4	Dat	0.5753641449035618	1960	1	-0.10466340862367056	-0.3629372192438418	-0.2889679738115108
kóter	kóter	de	-0.13409177369830738	0	-0.0567670438663156	5	r	coronal_sonorant	4	Pl	-2.4849066497880004	1616	0.13671020318322033	0.07257532031140307	1.093859838668007	1.010281505310089
kóter	kóter	de	-0.13409177369830738	0	-0.0567670438663156	5	r	coronal_sonorant	4	Dat	0.28768207245178085	1616	0.13671020318322033	0.07257532031140307	1.093859838668007	1.010281505310089
macesz	maces	yi	0.28204825473352485	0	0.375579529103281	6	s	sibilant	4	Dat	0.6931471805599453	1862	0.294100673646994	1.7918062714652103	0.3623468303028772	1.180354981276278
macesz	maces	yi	0.28204825473352485	0	0.375579529103281	6	s	sibilant	4	Pl	0.4054651081081644	1862	0.294100673646994	1.7918062714652103	0.3623468303028772	1.180354981276278
bakter	bakter	de	0.3106504684527312	6	0.716349974254184	6	r	coronal_sonorant	4	Dat	0.10880285984879917	1896	0.2767060328931943	0.14521087417732484	1.321649781153767	-0.5164154140665899
bakter	bakter	de	0.3106504684527312	6	0.716349974254184	6	r	coronal_sonorant	4	Pl	3.8501476017100584	1896	0.2767060328931943	0.14521087417732484	1.321649781153767	-0.5164154140665899
sumer	šumer	akk	0.3642375163404102	0	1.0545026216751352	5	r	coronal_sonorant	4	Pl	0.609653218382194	1900	0.3841490073791741	-0.3321097470533499	0.9033695327162156	1.084668646816653
sumer	šumer	akk	0.3642375163404102	0	1.0545026216751352	5	r	coronal_sonorant	4	Dat	-0.578077850775158	1900	0.3841490073791741	-0.3321097470533499	0.9033695327162156	1.084668646816653
klozet	klozet	fr	0.737832669905245	0	0.06396436403742334	6	t	other	4	Pl	-0.45198512374305727	1908	0.21056621384575025	0.17534019591457786	-0.49739227403242914	0.4128809389162855
klozet	klozet	fr	0.737832669905245	0	0.06396436403742334	6	t	other	4	Dat	-0.45198512374305727	1908	0.21056621384575025	0.17534019591457786	-0.49739227403242914	0.4128809389162855
samesz	šames	yi	0.9424018758778407	0	0.4668618282549646	6	s	sibilant	4	Pl	0.8680886300562773	1928	0.5745470842899087	-1.4957856043345326	0.16695943134719962	1.191001005245154
samesz	šames	yi	0.9424018758778407	0	0.4668618282549646	6	s	sibilant	4	Dat	0.3513978868378886	1928	0.5745470842899087	-1.4957856043345326	0.16695943134719962	1.191001005245154
