stem	transcription	log_odds_back_total	stem_freq	language	suffix	llfpm10	form_varies	log_odds_back_suffix
jampec	jampec	-0.4288685164923248	464	de	Pl	0.15123380228128092	TRUE	-0.36870421213309457
jampec	jampec	-0.4288685164923248	464	de	Dat	0.15123380228128092	TRUE	0.5753641449035618
kóter	kóter	-0.13465688514625712	476	de	Pl	-0.0567670438663156	FALSE	-2.4849066497880004
kóter	kóter	-0.13465688514625712	476	de	Dat	-0.0567670438663156	TRUE	0.28768207245178085
macesz	maces	0.28483712031954966	205	yi	Dat	0.375579529103281	TRUE	0.6931471805599453
macesz	maces	0.28483712031954966	205	yi	Pl	0.375579529103281	TRUE	0.4054651081081644
bakter	bakter	0.3116463528905096	634	de	Dat	0.716349974254184	TRUE	0.10880285984879917
bakter	bakter	0.3116463528905096	634	de	Pl	0.716349974254184	TRUE	3.8501476017100584
sumer	šumer	0.3646837235495385	1669	akk	Pl	1.0545026216751352	TRUE	0.609653218382194
sumer	šumer	0.3646837235495385	1669	akk	Dat	1.0545026216751352	TRUE	-0.578077850775158
klozet	klozet	0.7406495145449485	573	fr	Pl	0.06396436403742334	TRUE	-0.45198512374305727
klozet	klozet	0.7406495145449485	573	fr	Dat	0.06396436403742334	TRUE	-0.45198512374305727
samesz	šames	0.9456429438866824	672	yi	Pl	0.4668618282549646	TRUE	0.8680886300562773
samesz	šames	0.9456429438866824	672	yi	Dat	0.4668618282549646	TRUE	0.3513978868378886
malter	malter	1.1001126640433443	889	de	Dat	0.6100893505755742	TRUE	0.7419373447293773
malter	malter	1.1001126640433443	889	de	Pl	0.6100893505755742	TRUE	-0.5108256237659907
muter	muter	1.9884114050952884	847	yi	Dat	0.5004649093036383	TRUE	1.1587808101345625
muter	muter	1.9884114050952884	847	yi	Pl	0.5004649093036383	TRUE	0.5108256237659907
kolesz	koles	2.211017899468555	3240	hu	Pl	0.7726222789466473	TRUE	1.8870696490323797
kolesz	koles	2.211017899468555	3240	hu	Dat	0.7726222789466473	TRUE	1.4271163556401458
krapek	krapek	2.414080597219388	475	de	Pl	0.2858131136537797	FALSE	4.543294782270004
krapek	krapek	2.414080597219388	475	de	Dat	0.2858131136537797	TRUE	1.2192402764567245
pajesz	pajes	2.963061491264442	285	yi	Pl	0.19606017543000023	FALSE	3.4011973816621555
pajesz	pajes	2.963061491264442	285	yi	Dat	0.19606017543000023	TRUE	1.9459101490553132
balek	balek	3.1431939652304526	5440	yi	Pl	1.18302479496678	FALSE	7.905072849498666
balek	balek	3.1431939652304526	5440	yi	Dat	1.18302479496678	TRUE	1.7882812048517303
maszek	masek	3.260017768199376	2164	yi	Pl	1.0569096792608152	TRUE	5.545177444479562
maszek	masek	3.260017768199376	2164	yi	Dat	1.0569096792608152	TRUE	2.4485390056171252
fater	fater	3.344348517430003	5575	yi	Dat	1.2643232470451446	TRUE	2.183412203048608
fater	fater	3.344348517430003	5575	yi	Pl	1.2643232470451446	FALSE	5.0369526024136295
matek	matek	4.194200826810537	18575	en	Dat	1.7446768078145567	TRUE	3.1354942159291497
matek	matek	4.194200826810537	18575	en	Pl	1.7446768078145567	FALSE	2.5649493574615367
haver	haver	4.7302591009135595	72482	yi	Pl	2.2866022611361054	TRUE	4.990625553154944
haver	haver	4.7302591009135595	72482	yi	Dat	2.2866022611361054	TRUE	3.001886139128369
