stem	transcription	svm_weight_01	svm_weight_1	knn_2_weight	yi_la_weight	x_phon	y_phon	ends_labial_stop	ends_sibilant	ends_coronal_sonorant	ends_two_consonants	language	year	back	front	log_odds_back	stem_freq	stem_varies	sd_back
sakter	šakter	-3.1258732588819176	-2.6385350275875448	-1.2866875242772833	0.5727693499624333	1.4357423557682207	-0.43654535488152857	FALSE	FALSE	TRUE	FALSE	en	1782	46	226	-1.591893602783191	272	TRUE	6.182280180911741
malter	malter	-1.83541754181476	-1.7756726636438986	-2.5448985604159757	0.5423845986794132	1.154068964585033	-0.9575392632106028	FALSE	FALSE	TRUE	FALSE	de	1787	667	222	1.1001126640433443	889	TRUE	12.905906775437668
burleszk	burlesk	-3.835417542996819	-4.015483562143379	-1.1521781311362052	0.6160232420730312	-1.5251659462322618	-1.4617158296209511	FALSE	FALSE	FALSE	TRUE	fr	1788	3	1191	-5.983936280687191	1194	TRUE	1.729873495824995
lóden	lóden	-1.854084633460435	-3.085933113452125	-2.094945728215801	0.4135821156187873	0.4620946853774056	1.9062959388844396	FALSE	FALSE	TRUE	FALSE	de	1788	8	51	-1.8523840910444895	59	TRUE	2.629687098741623
pasztell	pastell	-3.0991734933206887	-3.2993734467074427	-4.727679519818011	0.466758585183543	0.28080719293365164	-1.2327036089675358	FALSE	FALSE	TRUE	TRUE	fr	1788	84	2083	-3.210747642417658	2167	TRUE	8.985760154603966
modell	modell	-3.835417542996819	-3.41199915645694	-1.751642521242958	0.51824805501413	-0.2825942606279788	0.9202991388312444	FALSE	FALSE	TRUE	TRUE	en	1789	231	523157	-7.725219178681491	523388	TRUE	15.195329774493368
szonett	sonett	-3.835417542996819	-3.646013590399453	-4.309652618012362	0.5315772785965667	-2.492900972018347	0.8927437879389957	FALSE	FALSE	FALSE	TRUE	fr	1789	20	4499	-5.4158781552871815	4519	TRUE	4.4622286855089754
balett	balett	-1.8354175429968196	-2.609762533609987	-4.098031450980992	0.687698027722593	-2.4348607487189486	0.10236987920932472	FALSE	FALSE	FALSE	TRUE	fr	1791	2755	14133	-1.635095045781136	16888	TRUE	48.016319836385144
farmer	farmer	-1.995515167653535	-1.9955363634540069	-2.5448985604159757	0.624138293372549	1.0502072286467332	-1.086841199725619	FALSE	FALSE	TRUE	FALSE	en	1793	7287	20249	-1.0220134709289872	27536	TRUE	73.20247222109023
flaszter	flaster	-1.8354175429968256	-3.021708573518852	-5.138993327946781	0.4462704148638163	1.985966243397764	-0.9484030741307704	FALSE	FALSE	TRUE	FALSE	de	1795	194	922	-1.5586870644932656	1116	TRUE	12.660015231550174
pamflet	pamflet	-3.835417542996819	-3.9306147426964215	-0.32690278560506225	0.7370379847920511	-0.8927016413348781	-1.2442869862485946	FALSE	FALSE	FALSE	FALSE	en	1796	10	1647	-5.104125637183595	1657	TRUE	3.152721042183242
duett	duett	-3.835417542996819	-4.350696372740553	-4.340632830360099	0.4311633042760669	-2.03392675078453	1.1583836140155306	FALSE	FALSE	FALSE	TRUE	it	1799	20	11632	-6.3657829262193095	11652	TRUE	4.468296222210412
modern	modern	-2.7452082046070165	-3.064540458943792	-6.429991108001023	0.5087418037690986	-0.3085742312933533	1.0099923037503542	FALSE	FALSE	TRUE	TRUE	de	1799	22	323	-2.686609869864341	345	TRUE	4.5384029624169955
korvett	korvett	-3.835417542996819	-3.4181459016417817	-1.6326947745983675	0.5131809415986142	-2.798578640924115	-1.4360987449910978	FALSE	FALSE	FALSE	TRUE	fr	1806	4	622	-5.0466457316192885	626	TRUE	1.9935999835896592
kartell	kartell	-3.4950229596312847	-3.2672078621762224	-2.4593298079983508	0.3848338770132404	-0.07231969300413058	-1.6329887852131213	FALSE	FALSE	TRUE	TRUE	de	1807	141	5169	-3.601674634817871	5310	TRUE	11.715627691395362
komplett	komplett	-1.8354175429968196	-1.9807334459271884	-1.1977031913123406	0.6585004680082748	-3.309477902568433	-1.4872812146726648	FALSE	FALSE	FALSE	TRUE	de	1814	5	1	1.6094379124341005	6	TRUE	0.9128709291752768
groteszk	grotesk	-1.8354175429968196	-1.9960197788716805	-3.1255066173008013	0.4330280883992839	-0.6120121413684727	0.8234043384475479	FALSE	FALSE	FALSE	TRUE	NA	1815	6	0	Inf	6	FALSE	0
parkett	parkett	-3.166343424612181	-3.166810445378816	-3.5897454045822843	0.5927502125648102	-2.2717422851708595	-1.377701963693433	FALSE	FALSE	FALSE	TRUE	fr	1817	355	9332	-3.269086843665905	9687	TRUE	18.492979648324823
rulett	rulett	-3.835417542996819	-3.878808535609912	-2.3025850929940455	0.5051066551710054	-2.537470963835448	0.6578649789228441	FALSE	FALSE	FALSE	TRUE	fr	1818	40	3046	-4.332705079341171	3086	TRUE	6.283432938132655
hotel	hotel	-2.8354175277668396	-2.683723349493173	-0.848747017441916	0.5571614449788848	0.9181081196867475	0.8657331044299661	FALSE	FALSE	TRUE	FALSE	fr	1829	7618	139392	-2.9067762398140284	147010	TRUE	84.98963616759963
