id	yob	age	gender	total_time	i	stem	target	suffix	accept	rt	transcription	log_odds_back_total	stem_freq	language	llfpm10	form_varies	log_odds_back_suffix	upper_time	lower_time
SK6G8F	1996	28	nő	304367	40	jampec	jampecok	Pl	TRUE	3592	jampec	-0.4288685164923248	464	de	0.15123380228128092	TRUE	-0.36870421213309457	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	41	nonszensz	nonszensznak	Dat	FALSE	1931	nonsens	-6.897704943128636	1982	en	1.2858393542194446	TRUE	-6.436951329565632	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	42	bukfenc	bukfencok	Pl	FALSE	2147	bukfenc	-7.154875739677795	3844	de	1.0306613020268856	FALSE	-6.577861357721047	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	43	pollen	pollenok	Pl	FALSE	1174	pollen	-7.311122950912852	10485	la	1.5346232211256754	TRUE	-7.9991750970687425	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	44	kolesz	koleszok	Pl	FALSE	2622	koles	2.211017899468555	3240	hu	0.7726222789466473	TRUE	1.8870696490323795	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	45	kóter	kóterok	Pl	FALSE	2133	kóter	-0.13465688514625712	476	de	-0.0567670438663156	FALSE	-2.4849066497880004	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	46	lumen	lumenok	Pl	FALSE	2315	lumen	-6.779921907472252	1762	la	1.3578062989248016	FALSE	-4.382026634673881	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	47	gólem	gólemok	Pl	FALSE	1423	gólem	-7.459338895220296	1737	yi	0.9666714958476778	FALSE	-6.082218910376446	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	48	fotel	fotelok	Pl	FALSE	2189	fotel	-0.7751844353673116	36774	fr	1.918034842594317	TRUE	-1.945531647915291	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	49	bojler	bojlernak	Dat	FALSE	1566	bojler	-1.075920877466039	1227	en	1.4702901013537286	FALSE	3.367295829986474	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	50	karter	karterok	Pl	FALSE	2689	NA	NA	NA	NA	NA	NA	NA	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	52	kortes	kortesok	Pl	FALSE	1991	korteš	-Inf	452	NA	0.13557201061440527	FALSE	-5.402677381872279	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	53	kódex	kódexok	Pl	FALSE	1143	kódex	-7.838882768233227	48229	la	2.156884917051594	FALSE	-8.924789360533357	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	54	jampec	jampecnak	Dat	FALSE	2209	jampec	-0.4288685164923248	464	de	0.15123380228128092	TRUE	0.5753641449035618	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	56	mágnes	mágnesnak	Dat	FALSE	3493	mágneš	-7.376695843374607	15993	en	1.8441518280462148	TRUE	-5.264760583019194	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	57	balek	balekok	Pl	TRUE	3641	balek	3.1431939652304526	5440	yi	1.18302479496678	FALSE	7.905072849498666	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	60	konszern	konszernnak	Dat	FALSE	3418	konsern	-7.738923757439457	6891	de	1.5587549012315391	FALSE	-6.652863029353347	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	63	docens	docensnak	Dat	FALSE	3720	docenš	-8.513118233374207	29884	la	2.334254917204184	FALSE	-6.790097235513905	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	64	krapek	krapekok	Pl	TRUE	2973	krapek	2.414080597219388	475	de	0.2858131136537797	FALSE	4.543294782270004	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	65	lumen	lumennak	Dat	FALSE	3089	lumen	-6.779921907472252	1762	la	1.3578062989248016	FALSE	-4.406719247264253	421478.4226	119321.57740000001
SK6G8F	1996	28	nő	304367	68	hosztesz	hosztesznak	Dat	FALSE	1065	hostes	-Inf	898	NA	0.4593602709032462	FALSE	-3.713572066704308	421478.4226	119321.57740000001
