id	yob	age	gender	total_time	i	stem	target	suffix	accept	rt	transcription	language	log_odds_adj	neighbourhood_size	llfpm10	stem_length	stem_final	stem_phonology	stem_final_consonant_cluster	log_odds_back_suffix	upper_time	lower_time	date	yi_la	knn	x_phon	y_phon
SK6G8F	1996	28	nő	304367	1	malter	malternak	Dat	FALSE	5354	malter	de	1.097116402076527	1	0.6100893505755742	6	r	coronal_sonorant	4	0.7419373447293773	497977.67079999996	10623.329200000007	1838	0.2513349712635223	-1.4777895625252149	1.154068964585033	-0.9575392632106028
SK6G8F	1996	28	nő	304367	2	karcer	karcernak	Dat	FALSE	5029	karcer	la	-0.9323768696257794	2	-0.6005464245423525	6	r	coronal_sonorant	4	NA	497977.67079999996	10623.329200000007	1647	0.4054303453083304	-1.054480619045516	0.9584746932236238	-1.280908992860046
SK6G8F	1996	28	nő	304367	3	szoftver	szoftverok	Pl	FALSE	3191	softver	en	-8.034782590438166	0	2.8823776554889804	8	r	coronal_sonorant	4	-10.749602570784166	497977.67079999996	10623.329200000007	1980	0.26408231523505316	1.050015097244415	1.5983353456484632	-1.1429381010641997
SK6G8F	1996	28	nő	304367	4	flanel	flanelok	Pl	FALSE	2780	flanel	fr	-0.7711087220296571	0	0.35638106706207384	6	l	coronal_sonorant	4	-0.15415067982725836	497977.67079999996	10623.329200000007	1872	0.1885291110773891	-1.126150837502716	1.314104383154887	0.3794043199481803
SK6G8F	1996	28	nő	304367	5	szovjet	szovjetnak	Dat	FALSE	4143	sovjet	ru	-8.172195830075163	0	2.59966886920045	7	t	other	4	-5.8111409929767	497977.67079999996	10623.329200000007	1919	0.5184941196204517	-0.5954041874336226	-0.8998039228898858	-0.435095768004488
SK6G8F	1996	28	nő	304367	6	muter	muternak	Dat	FALSE	7247	muter	yi	1.979996611974125	4	0.5004649093036383	5	r	coronal_sonorant	4	1.1587808101345625	497977.67079999996	10623.329200000007	1897	0.13441276819557343	-0.9076646771543876	1.1121156754940902	1.0733563423447217
SK6G8F	1996	28	nő	304367	7	token	tokenok	Pl	FALSE	2832	token	en	-6.33175601179619	0	1.245905770590949	5	n	coronal_sonorant	4	-7.755338812846501	497977.67079999996	10623.329200000007	1850	0.15177169037066407	-2.0046022735663693	0.02190332664072617	1.2296966742941675
SK6G8F	1996	28	nő	304367	8	omlett	omlettnak	Dat	FALSE	2225	omlett	fr	-5.929855065476291	0	0.9301594617947097	6	tt	other	4	-6.47543271670409	497977.67079999996	10623.329200000007	1850	0.2732317348686268	-1.6798876961229046	-2.877873467339763	0.02925927547072895
SK6G8F	1996	28	nő	304367	9	mágnes	mágnesok	Pl	FALSE	3409	mágneš	en	-7.281448228089964	1	1.8441518280462148	6	š	sibilant	4	-8.773694146384443	497977.67079999996	10623.329200000007	1915	0.300758305579486	-1.6644071058043932	0.42492807127749166	0.4186725039680562
SK6G8F	1996	28	nő	304367	10	szovjet	szovjetok	Pl	FALSE	2529	sovjet	ru	-8.172195830075163	0	2.59966886920045	7	t	other	4	-8.924489954353373	497977.67079999996	10623.329200000007	1919	0.5184941196204517	-0.5954041874336226	-0.8998039228898858	-0.435095768004488
SK6G8F	1996	28	nő	304367	11	modell	modellok	Pl	FALSE	1507	modell	en	-7.720901429007229	0	3.2458076642479075	6	ll	coronal_sonorant	4	-11.15829604656456	497977.67079999996	10623.329200000007	1980	0.2133085140173435	-1.9558232960605288	-0.2825942606279788	0.9202991388312444
SK6G8F	1996	28	nő	304367	12	kortes	kortesnak	Dat	FALSE	4451	korteš	NA	-6.115892125483034	6	0.13557201061440527	6	š	sibilant	4	-3.367295829986474	497977.67079999996	10623.329200000007	1830	0.09828083128587428	NA	0.05704078008181597	-1.0211284617217509
SK6G8F	1996	28	nő	304367	13	szkander	szkanderok	Pl	FALSE	5657	skander	ar	-0.9879467207805904	0	0.6195616634977026	8	r	coronal_sonorant	4	-0.6931471805599453	497977.67079999996	10623.329200000007	1600	0.23646192716359457	-1.6358631402436374	1.639457644990538	-1.2288527882268354
SK6G8F	1996	28	nő	304367	14	drukker	drukkernak	Dat	FALSE	4532	drukker	de	-6.493699807702544	1	1.599349006057054	7	r	coronal_sonorant	4	-4.3400879454535515	497977.67079999996	10623.329200000007	1866	0.13179051144125958	-1.9040671118307355	1.7886100749963152	-0.5520378280616528
SK6G8F	1996	28	nő	304367	15	sláger	slágerok	Pl	FALSE	1966	šláger	de	-7.314590876112485	2	2.2587678514546465	6	r	coronal_sonorant	4	-8.446395120107523	497977.67079999996	10623.329200000007	1854	0.11179887626649704	-1.5984431110778274	1.687996817688111	0.6247359973007642
SK6G8F	1996	28	nő	304367	16	szlogen	szlogenok	Pl	FALSE	2573	slogen	en	-7.112076645286435	0	1.9318761017045023	7	n	coronal_sonorant	4	-6.887807641172441	497977.67079999996	10623.329200000007	1960	0.08420071467337574	-2.1420341408417594	0.6546794611741797	1.021062033943784
SK6G8F	1996	28	nő	304367	17	fotel	fotelnak	Dat	FALSE	2840	fotel	fr	-0.7751379278898186	2	1.918034842594317	5	l	coronal_sonorant	4	-1.5664205273504097	497977.67079999996	10623.329200000007	1850	0.2775251197735479	-2.046678184861635	0.8851545828948595	0.8371024693283863
SK6G8F	1996	28	nő	304367	18	hosztesz	hoszteszok	Pl	FALSE	2223	hostes	NA	-6.80128303447162	0	0.4593602709032462	8	s	sibilant	4	-6.555356891810665	497977.67079999996	10623.329200000007	1900	0.22851843519290033	NA	0.4087237625563625	-0.5072248605134343
