R2	SD	CI	CI_low	CI_high	CI_method	Component	Effectsize	model
0.42222657115525675	0.012451104924786613	0.95	0.39733753799094357	0.44606707014055946	HDI	conditional	Bayesian R-squared	knn
0.17570631968105138	0.034660081815507615	0.95	0.09905406369150917	0.23634872204479793	HDI	marginal	Bayesian R-squared	knn
0.4160216065733271	0.01249117391417792	0.95	0.3912502705185213	0.4392098638622314	HDI	conditional	Bayesian R-squared	gcm
0.12941374525793875	0.04952841700531332	0.95	0.03639445263278547	0.21403841482442199	HDI	marginal	Bayesian R-squared	gcm
0.4341915177837607	0.011931636990820525	0.95	0.40943009390094975	0.45575621481385764	HDI	conditional	Bayesian R-squared	svm1
0.2801470848391819	0.04271975353879457	0.95	0.18114509209787769	0.35698864576691736	HDI	marginal	Bayesian R-squared	svm1
0.4231127543796056	0.01240991457103992	0.95	0.39902339407964094	0.4483388553359594	HDI	conditional	Bayesian R-squared	svm01
0.1419339641275057	0.05928637424910716	0.95	0.044910681369513795	0.25633512458815155	HDI	marginal	Bayesian R-squared	svm01
