elpd_diff	se_diff	elpd_loo	se_elpd_loo	p_loo	se_p_loo	looic	se_looic	model
0	0	-788.075189742321	23.8269932165497	71.8331094013199	3.0288082270239	1576.15037948464	47.6539864330995	svm1
-18.6700242925794	5.86964641139166	-806.745214034901	24.228852076814	74.7898647712561	3.10810081976056	1613.4904280698	48.4577041536281	svm01
-19.1513695237336	6.89275040620757	-807.226559266056	24.4950621031001	73.3059930039055	3.39760183307476	1614.45311853211	48.9901242062002	knn
-28.0293705560567	6.88132876676635	-816.104560298379	24.593715968119	70.9484018312107	2.99172318906334	1632.20912059676	49.187431936238	gcm
